frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,_ws.col.protocol
"1766041620.193918525",,,"2603:8000:6900:600::70","2607:f8b0:4007:80e::2004",,,"59896","443","UDP"
"1766041620.271646349",,,"2603:8000:6900:600::70","2607:f8b0:4007:80e::2004",,,"51830","443","UDP"
"1766041620.508135684",,,"2603:8000:6900:600::70","2607:f8b0:4007:80e::2004",,,"59896","443","UDP"
"1766041620.572485847",,,"2603:8000:6900:600::70","2607:f8b0:4007:80e::2004",,,"51830","443","UDP"
"1766041620.678779267","192.168.1.14","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041620.680099966",,,"fe80::1470:9c3f:9227:1c6c","ff02::fb",,,"5353","5353","MDNS"
"1766041620.683388998",,,"fe80::5607:7dff:fe40:f9bd","ff02::1",,,,,"ICMPv6"
"1766041620.696066667",,,"fe80::9290:4d9:c8ba:a3b5","ff02::16",,,,,"ICMPv6"
"1766041620.872957674",,,"2603:8000:6900:600::70","2607:f8b0:4007:80e::2004",,,"51830","443","UDP"
"1766041621.136690683",,,"2603:8000:6900:600::70","2607:f8b0:4007:80e::2004",,,"59896","443","UDP"
"1766041621.174272593",,,"2603:8000:6900:600::70","2607:f8b0:4007:80e::2004",,,"59896","443","UDP"
"1766041621.532059748",,,"fe80::9290:4d9:c8ba:a3b5","ff02::16",,,,,"ICMPv6"
"1766041621.601740935","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
